RA,Ano,Pedra,Defasagem,INDE,IAN,IDA,IEG,IAA,IPS,IPV,Target_Risco,IPP
RA-1,2022,QUARTZO,-1,5.783,5.0,4.0,4.1,8.3,5.6,7.278,1,
RA-2,2022,AMETISTA,0,7.055,10.0,6.8,5.2,8.8,6.3,6.778,0,
RA-3,2022,AGATA,0,6.591,10.0,5.6,7.9,0.0,5.6,7.556,0,
RA-4,2022,QUARTZO,0,5.951,10.0,5.0,4.5,8.8,5.6,5.278,0,
RA-5,2022,AMETISTA,0,7.427,10.0,5.2,8.6,7.9,5.6,7.389,0,
RA-6,2022,QUARTZO,-1,5.848,5.0,3.3,4.5,7.9,7.5,7.222,1,
RA-7,2022,AGATA,-1,6.818,5.0,7.6,8.4,0.0,7.5,7.667,1,
RA-8,2022,QUARTZO,-1,4.786,5.0,1.6,4.6,7.1,6.3,6.278,1,
RA-9,2022,TOPAZIO,-1,8.109,5.0,6.7,9.5,8.8,7.5,9.5,1,
RA-10,2022,QUARTZO,-1,5.784,5.0,4.1,5.2,8.3,5.0,7.056,1,
RA-11,2022,QUARTZO,-1,5.323,5.0,3.0,4.2,9.2,5.0,6.389,1,
RA-12,2022,QUARTZO,0,4.832,10.0,1.5,4.0,0.0,6.9,6.389,0,
RA-13,2022,AGATA,-1,6.902,5.0,4.7,7.4,7.9,7.5,8.056,1,
RA-14,2022,AGATA,-1,6.793,5.0,4.0,8.3,7.9,7.5,7.75,1,
RA-15,2022,AMETISTA,-1,7.783,5.0,7.3,10.0,8.8,7.5,7.292,1,
RA-16,2022,AGATA,-1,6.112,5.0,3.5,8.3,7.9,5.0,6.333,1,
RA-17,2022,TOPAZIO,-1,8.068,5.0,7.8,10.0,8.8,7.5,8.292,1,
RA-18,2022,AMETISTA,-1,7.226,5.0,9.0,8.7,6.3,6.3,6.875,1,
RA-19,2022,AMETISTA,-1,7.665,5.0,8.0,9.5,7.9,7.5,7.0,1,
RA-20,2022,AMETISTA,-1,7.535,5.0,7.8,10.0,7.1,6.3,7.167,1,
RA-21,2022,AGATA,-1,6.945,5.0,3.8,9.2,9.6,7.5,7.25,1,
RA-22,2022,AMETISTA,-1,7.474,5.0,6.7,7.4,8.3,8.1,8.833,1,
RA-23,2022,AMETISTA,-1,7.677,5.0,6.7,8.2,8.3,8.1,8.556,1,
RA-24,2022,TOPAZIO,-1,8.087,5.0,8.6,7.9,9.2,6.9,9.111,1,
